attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
peatDecompostion,Fibric,,Fibric,Fibric,Degree of decomposition and humification of peat of subtype Fibric,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,Hemic,,Hemic,Hemic,Degree of decomposition and humification of peat of subtype Hemic,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D3,Fibric,D3,moderate,Subtype Fibric and the degree of decomposition and humification of peat is moderate,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,Sapric,,Sapric,Sapric,Degree of decomposition and humification of peat of subtype Sapric,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D5.2,Sapric,D5.2,very strong,Subtype Sapric and the degree of decomposition and humification of peat is very strong,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D4,Hemic,D4,strong,Subtype Hemic and the degree of decomposition and humification of peat is strong,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D5.1,Hemic,D5.1,moderately strong,Subtype Hemic and the degree of decomposition and humification of peat is moderately strong,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D2,Fibric,D2,low,Subtype Fibric and the degree of decomposition and humification of peat is low,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D1,Fibric,D1,very low,Subtype Fibric and the degree of decomposition and humification of peat is very low,,,False,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
coatingNature,C,,C,Clay,Clay,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,CC,,CC,Calcium carbonate,Calcium carbonate,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,CS,,CS,Clay and sesquioxides,Clay and sesquioxides,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SP,,SP,"Slickensides, partly intersecting","Slickensides, partly intersecting",,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SF,,SF,Shiny faces (as in nitic horizon),Shiny faces (as in nitic horizon),,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,HC,,HC,"Hypodermic coatings (Hypodermic coatings, as used here, are field-scale features, commonly only expressed as hydromorphic features. Micromorphological hypodermic coatings include non-redox features [Bullock et al., 1985].)","Hypodermic coatings (Hypodermic coatings, as used here, are field-scale features, commonly only expressed as hydromorphic features. Micromorphological hypodermic coatings include non-redox features [Bullock et al., 1985].)",,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,S,,S,Sesquioxides,Sesquioxides,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SL,,SL,Silica (opal),Silica (opal),,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,MN,,MN,Manganese,Manganese,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,PF,,PF,Pressure faces,Pressure faces,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,GB,,GB,Gibbsite,Gibbsite,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,CH,,CH,Clay and humus (organic matter),Clay and humus (organic matter),,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,JA,,JA,Jarosite,Jarosite,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,ST,,ST,Silt coatings,Silt coatings,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SN,,SN,"Slickensides, non intersecting","Slickensides, non intersecting",,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SI,,SI,"Slickensides, predominantly intersecting (Slickensides are polished and grooved ped surfaces that are produced by aggregates sliding one past another.)","Slickensides, predominantly intersecting (Slickensides are polished and grooved ped surfaces that are produced by aggregates sliding one past another.)",,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SA,,SA,Sand coatings,Sand coatings,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,H,,H,Humus,Humus,,,False,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
bulkDensityPeat,BD5,,BD5,Strong (hemic),Strong (hemic) class of decomposition: > 0.17g cm-3,,,False,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
bulkDensityPeat,BD4,,BD4,Moderate high,Moderate(fibric) class of decomposition: 0.11–0.17g cm-3,,,False,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
bulkDensityPeat,BD1,,BD1,Very low,Very low (fibric) class of decomposition: < 0.04g cm-3,,,False,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
bulkDensityPeat,BD3,,BD3,Moderate low,Moderate(fibric) class of decomposition: 0.07–0.11g cm-3,,,False,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
bulkDensityPeat,BD2,,BD2,Low,Low (fibric) class of decomposition: 0.04–0.07g cm-3,,,False,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
plasticity,PL,,PL,Plastic,Wire formable but breaks if bent into a ring; slight to moderate force required for deformation of the soil mass.,,,False,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,PVP,,PVP,plastic to very plastic,Additioanl plasticity code with combination of  PL and VPL,,,False,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,SPP,,SPP,slightly plastic to plastic,Additioanl plasticity code with combination of  SPL and PL,,,False,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,NPL,,NPL,Non-plastic,No wire is formable.,,,False,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,VPL,,VPL,Very plastic,Wire formable and can be bent into a ring; moderately strong to very strong force required for deformation of the soil mass.,,,False,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,SPL,,SPL,Slightly plastic,Wire formable but breaks immediately if bent into a ring; soil mass deformed by very slight force.,,,False,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
voidsDiameter,MC,,MC,medium and coarse,Medium and coarse void with combination of medium and coarse type,,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,VC,,VC,Very coarse,very coarse void with diameter 20–50 m,,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,M,,M,Medium,medium void with diameter 2–5,,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,FM,,FM,fine and medium,Fine and medium void with combination of fine and medium type,,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,V,,V,Very fine,Very fine void with diameter less than 0.5 m,,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,FF,,FF,fine and very fine,Fine and very fine void with combination of fine and very fine type,,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,C,,C,Coarse,Coarse void with diameter between 5–20 m,,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,F,,F,Fine,Fine void with diameter between 0.5–2 m,,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsClassification,C,,C,Channels,"Elongated voids of faunal or floral origin, mostly tubular in shape and continuous, varying strongly in diameter. When wider than a few centimetres (burrow holes), they are more adequately described under biological activity.",,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
voidsClassification,I,,I,Interstitial,"Controlled by the fabric, or arrangement, of the soil particles, also known as textural voids. Subdivision possible into simple packing voids, which relate to the packing of sand particles, and compound packing voids, which result from the packing of non-accommodating peds. Predominantly irregular in shape and interconnected, and hard to quantify in the field.",,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
voidsClassification,P,,P,Planes,"Most planes are extra-pedal voids, related to accommodating ped surfaces or cracking patterns. They are often not persistent and vary in size, shape and quantity depending on the moisture condition of the soil. Planar voids may be recorded, describing width and frequency.",,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
voidsClassification,B,,B,Vesicular,"Discontinuous spherical or elliptical voids (chambers) of sedimentary origin or formed by compressed air, e.g. gas bubbles in slaking crusts after heavy rainfall. Relatively unimportant in connection with plant growth.",,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
voidsClassification,V,,V,Vughs,"Mostly irregular, equidimensional voids of faunal origin or resulting from tillage or disturbance of other voids. Discontinuous or interconnected. May be quantified in specific cases.",,,False,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
saltThickness,N,,N,None,No salt occurance,,,False,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
saltThickness,V,,V,Very thick,Layer of salt occurance is > 20mm,,,False,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
saltThickness,F,,F,Thin,Layer of salt occurance is  < 2mm,,,False,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
saltThickness,M,,M,Medium,Layer of salt occurance is 2mm–5mm,,,False,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
saltThickness,C,,C,Thick,Layer of salt occurance is  5mm–20mm,,,False,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
weatherConditions,PC,,PC,partly cloudy,"Present weather conditions (Schoeneberger et al., 2002)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC1,,WC1,no rain in the last month,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC5,,WC5,heavier rain for some days or rainstorm in the last 24 hours,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC4,,WC4,rainy without heavy rain in the last 24 hours,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,OV,,OV,overcast,"Present weather conditions (Schoeneberger et al., 2002)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,SU,,SU,sunny/clear,"Present weather conditions (Schoeneberger et al., 2002)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,RA,,RA,rain,"Present weather conditions (Schoeneberger et al., 2002)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,SL,,SL,sleet,"Present weather conditions (Schoeneberger et al., 2002)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,SN,,SN,snow,"Present weather conditions (Schoeneberger et al., 2002)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC6,,WC6,extremely rainy time or snow melting,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC3,,WC3,no rain in the last 24 hours,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC2,,WC2,no rain in the last week,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,False,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
bulkDensityMineral,BD3,,BD3,"Knife can be pushed into the moist soil with weak pressure, sample disintegrates into few fragments, which may be further divided.","Loamy soils with high clay content, clayey soils. Sample remains mostly intact when dropped, further disintegration possible after application of large pressure.",,,False,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
bulkDensityMineral,BD4,,BD4,"Knife penetrates only 1–2 cm into the moist soil, some effort required, sample disintegrates into few fragments, which cannot be subdivided further.","Loamy soils with high clay content, clayey soils. Sample remains intact when dropped, no further disintegration after application of very large pressure.",,,False,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
bulkDensityMineral,BD2,,BD2,Sample disintegrates into numerous fragments after application of weak pressure.,"Loamy soils with high clay content, clayey soils. When dropped, sample disintegrates into few fragments, further disintegration of subfragments after application of mild pressure.",,,False,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
bulkDensityMineral,BD5,,BD5,"Very large pressure necessary to force knife into the soil, no further disintegration of sample.","Loamy soils with high clay content, clayey soils. Sample remains intact when dropped, no further disintegration after application of very large pressure.",,,False,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
bulkDensityMineral,BD1,,BD1,"Many pores, moist materials drop easily out of the auger.","materials with vesicular pores, mineral soils with andic properties. Sample disintegrates at the instant of sampling, many pores visible onthe pit wall. Sample disintegrates at the instant of sampling, many pores visible on the pit wall. Loamy soils with high clay content, clayey soils When dropped, sample disintegrates into numerous fragments, further disintegration of subfragments after application of weak pressure.",,,False,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
biologicalAbundance,C,,C,Common,Common biological activity in soil,,,False,Classification of the abundance of biological activity. See more in Guidelines for Soil Description issued by the FAO: table 81,,,
biologicalAbundance,M,,M,Many,Many biological activity in soil,,,False,Classification of the abundance of biological activity. See more in Guidelines for Soil Description issued by the FAO: table 81,,,
biologicalAbundance,F,,F,Few,Few biological activity in soil,,,False,Classification of the abundance of biological activity. See more in Guidelines for Soil Description issued by the FAO: table 81,,,
biologicalAbundance,N,,N,None,No biological activity in soil,,,False,Classification of the abundance of biological activity. See more in Guidelines for Soil Description issued by the FAO: table 81,,,
fragmentCover,A,,A,Abundant,40%–80% of coarse surface fragments,,,False,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,D,,D,Dominant,> 80% of coarse surface fragments,,,False,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,C,,C,Common,5%–15% of coarse surface fragments,,,False,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,M,,M,Many,15%–40% of coarse surface fragments,,,False,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,N,,N,None,0% of coarse surface fragments,,,False,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,F,,F,Few,2%–5% of coarse surface fragments,,,False,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,V,,V,Very few,0%–2% of coarse surface fragments,,,False,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
biologicalFeatures,BO,,BO,Open large burrows,Biological feature of  Open large burrows,,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,BI,,BI,Infilled large burrows,Biological feature of  Infilled large burrows,,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,T,,T,Termite or ant channels and nests,Biological feature of Termite or ant channels and nests,,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,P,,P,Pedotubules,Biological feature of  Pedotubules,,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,E,,E,Earthworm channels,Biological feature of Earthworm channels,,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,C,,C,Charcoal,Biological feature of  Charcoal,,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,A,,A,Artefacts,Biological feature of  Artefacts,,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,B,,B,Burrows (unspecified),Biological feature of Burrows (unspecified),,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,I,,I,Other insect activity,Biological feature of Other insect activity,,,False,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
slopeGradientClass,10,,10,Very steep,> 60% of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,7,,7,Strongly sloping,10–15% of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,5,,5,Gently sloping,2–5% of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,3,,3,Nearly level,0.5–1.0 % of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,4,,4,Very gently sloping,1.0–2.0 % of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,6,,6,Sloping,5–10 % of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,1,,1,Flat,0–0.2% of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,2,,2,Level,0.2–0.5 % of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,9,,9,Steep,30–60 % of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,8,,8,Moderately steep,15–30 % of slope gradient,,,False,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
sand,SWD3,,SWD3,Sand Water Dispersible 0.3,"Sand water dispersible at 0.3 refers to the portion of sand particles in the soil that can be dispersed into water under a specific condition, where the dispersion occurs at a 0.3 pressure. This measurement indicates how easily the sand fraction of the soil can break apart and be suspended in water. Dispersible sand is important in evaluating soil structure and its susceptibility to erosion and runoff. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
sand,SWDT,,SWDT,Sand Water Dispersible Total,"Sand water dispersible total refers to the sum of all sand particles that can be dispersed into water across a range of pressures, usually reflecting the total amount of dispersible sand in the soil. This value is important in understanding the overall erodibility of a soil, as high dispersibility is linked to increased susceptibility to erosion and degradation. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
sand,SWD2,,SWD2,Sand Water Dispersible 0.2,"Sand water dispersible at 0.2 measures the sand fraction that can be dispersed at a 0.2 pressure. This parameter is crucial for evaluating the soil’s risk for erosion, particularly for sandy soils where the potential for particle dispersion can lead to structural degradation. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
sand,SWD4,,SWD4,Sand Water Dispersible 0.4,"Sand water dispersible at 0.4 measures the fraction of sand particles that can be dispersed at a 0.4 pressure. This is useful for understanding how sand interacts with water under varying levels of stress, providing insight into soil stability, especially in sandy soils where dispersion might influence the soil structure and erosion potential. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
sand,SWD1,,SWD1,Sand Water Dispersible 0.1,"Sand water dispersible at 0.1 indicates the sand fraction of soil that can be dispersed into water under a pressure of 0.1. This measure helps assess the ease with which sand particles can separate from aggregates and become suspended in water, impacting soil erosion potential and water retention characteristics. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
sand,SWD5,,SWD5,Sand Water Dispersible 0.5,"Sand water dispersible at 0.5 refers to the amount of sand particles that can be dispersed into water when subjected to a pressure of 0.5. This measure is used to assess the potential for soil degradation, particularly in sandy soils where dispersion may lead to erosion or changes in soil structure. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
gypsumContent,MO,,MO,Moderately gypsiric,≈ 5–15 EC = > 1.8 dS m-1 in 10 g soil/250 ml H2O,,,False,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
gypsumContent,EX,,EX,Extremely gypsiric,≈ > 60,,,False,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
gypsumContent,SL,,SL,Slightly gypsiric,≈ 0–5 EC = < 1.8 dS m-1 in 10 g soil/250 ml H2O,,,False,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
gypsumContent,ST,,ST,Strongly gypsiric,≈ 15–60 higher amounts may be differentiated by abundance of H2O-soluble pseudomycelia/crystals and soil colour,,,False,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
gypsumContent,N,,N,Non-gypsiric,0 EC = < 0.18 dS m-1 in 10 g soil/250 ml H2O,,,False,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
waterRetention,WRG100,,WRG100,Water Retention Gravimetric 100 kPa,"Gravimetric water retention at 100 kPa measures the water retained by the soil at this specific pressure, using the gravimetric method. It indicates the moisture available to plants between field capacity and the wilting point, providing a useful measurement for soil water management. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
waterRetention,WRG33,,WRG33,Water Retention Gravimetric 33 kPa,"Gravimetric water retention at 33 kPa measures the amount of water retained by the soil at this specific pressure, determined by the mass of water held in the soil when subjected to the 33 kPa suction. It reflects the soil’s capacity to hold water available to plants under conditions of moderate water stress. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
