collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
bleachedSand,0,,,Bleached sand of surface coverage 0-2%,Bleached sand of surface coverage 0-2%,,,Classification of bleached sand characteristics based on the percentage of surface covered. See more in Guidelines for Soil Description issued by the FAO: table 23,,,
mineralConcSize,V,,V,Very fine,Mineral concentration ranging fron size of < 2mm,,,"Classification of mineral concentrations based on size. See more in Guidelines for Soil Description issued by the FAO: table 75,1",,,
mineralConcSize,C,,C,Coarse,Mineral concentration ranging fron size of  > 20mm,,,"Classification of mineral concentrations based on size. See more in Guidelines for Soil Description issued by the FAO: table 75,1",,,
mineralConcSize,F,,F,Fine,Mineral concentration ranging fron size of 2mm–6mm,,,"Classification of mineral concentrations based on size. See more in Guidelines for Soil Description issued by the FAO: table 75,1",,,
mineralConcSize,M,,M,Medium,Mineral concentration ranging fron size of 6mm–20mm,,,"Classification of mineral concentrations based on size. See more in Guidelines for Soil Description issued by the FAO: table 75,1",,,
mottlesSize,M,,M,M Medium,Medium mottle of size 6–20,,,The individual classes of the mottle nodules according to their diameter size. See more in the guidelines for Soil Description issued by the FAO: table 33,,,
mottlesSize,A,,A,Coarse,Coarse mottle of > 20,,,The individual classes of the mottle nodules according to their diameter size. See more in the guidelines for Soil Description issued by the FAO: table 33,,,
mottlesSize,F,,F,F Fine,Fine mottle of size 2–6,,,The individual classes of the mottle nodules according to their diameter size. See more in the guidelines for Soil Description issued by the FAO: table 33,,,
mottlesSize,V,,V,Very fine,Very fine mottle size of less than  2,,,The individual classes of the mottle nodules according to their diameter size. See more in the guidelines for Soil Description issued by the FAO: table 33,,,
carbonatesForms,HHC,,HHC,hard hollow concretions,Secondary carbonates in soil in the form of hard hollow concretions,,,The forms of secondary carbonates in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more in guidelines for Soil Description issued by the FAO: table 39,,,
carbonatesForms,HL,,HL,hard cemented layer or layers of carbonates (less than 10 cm thick),Secondary carbonates in soil in the form of hard cemented layer or layers of carbonates,,,The forms of secondary carbonates in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more in guidelines for Soil Description issued by the FAO: table 39,,,
carbonatesForms,PM,,PM,"pseudomycelia* (carbonate infillings in pores, resembling mycelia)","Secondary carbonates in soil in the form of pseudomycelia i.e. carbonate infillings in pores, resembling mycelia",,,The forms of secondary carbonates in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more in guidelines for Soil Description issued by the FAO: table 39,,,
carbonatesForms,D,,D,disperse powdery lime,Secondary carbonates in soil in the form of disperse powdery lime,,,The forms of secondary carbonates in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more in guidelines for Soil Description issued by the FAO: table 39,,,
carbonatesForms,M,,M,marl layer,Secondary carbonates in soil in the form of marl layer,,,The forms of secondary carbonates in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more in guidelines for Soil Description issued by the FAO: table 39,,,
carbonatesForms,SC,,SC,soft concretions,Secondary carbonates in soil in the form of soft concretions,,,The forms of secondary carbonates in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more in guidelines for Soil Description issued by the FAO: table 39,,,
carbonatesForms,HC,,HC,hard concretions,Secondary carbonates in soil in the form of hard concretions,,,The forms of secondary carbonates in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more in guidelines for Soil Description issued by the FAO: table 39,,,
cracksDepth,D,,D,Deep 10–20,Deep surface crack of 10 - 20 cm in depth,,,"List of suggested classes of surface cracks in shrink–swell clay-rich soils after they dry out. See more in guidelines for Soil Description issued by the FAO: table 21,2",,,
cracksDepth,M,,M,Medium 2–10,Medium surface crack of 2 - 10 cm in depth,,,"List of suggested classes of surface cracks in shrink–swell clay-rich soils after they dry out. See more in guidelines for Soil Description issued by the FAO: table 21,2",,,
cracksDepth,S,,S,Surface < 2,Surface crack less than 2 cm in depth,,,"List of suggested classes of surface cracks in shrink–swell clay-rich soils after they dry out. See more in guidelines for Soil Description issued by the FAO: table 21,2",,,
cracksDepth,V,,V,Very deep > 20,Very deep surface crack of more than 20 cm in depth,,,"List of suggested classes of surface cracks in shrink–swell clay-rich soils after they dry out. See more in guidelines for Soil Description issued by the FAO: table 21,2",,,
peatDecompostion,Fibric,,Fibric,Fibric,Degree of decomposition and humification of peat of subtype Fibric,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,Hemic,,Hemic,Hemic,Degree of decomposition and humification of peat of subtype Hemic,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D3,Fibric,D3,moderate,Subtype Fibric and the degree of decomposition and humification of peat is moderate,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,Sapric,,Sapric,Sapric,Degree of decomposition and humification of peat of subtype Sapric,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D5.2,Sapric,D5.2,very strong,Subtype Sapric and the degree of decomposition and humification of peat is very strong,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D4,Hemic,D4,strong,Subtype Hemic and the degree of decomposition and humification of peat is strong,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D5.1,Hemic,D5.1,moderately strong,Subtype Hemic and the degree of decomposition and humification of peat is moderately strong,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D2,Fibric,D2,low,Subtype Fibric and the degree of decomposition and humification of peat is low,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
peatDecompostion,D1,Fibric,D1,very low,Subtype Fibric and the degree of decomposition and humification of peat is very low,,,In most organic layers of rocks the determination of the texture class is done by estimating of the degree of decomposition and humification of the organic material.See more in Guidelines for Soil Description issued by the FAO: table 31,,,
coatingNature,C,,C,Clay,Clay,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,CC,,CC,Calcium carbonate,Calcium carbonate,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,CS,,CS,Clay and sesquioxides,Clay and sesquioxides,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SP,,SP,"Slickensides, partly intersecting","Slickensides, partly intersecting",,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SF,,SF,Shiny faces (as in nitic horizon),Shiny faces (as in nitic horizon),,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,HC,,HC,"Hypodermic coatings (Hypodermic coatings, as used here, are field-scale features, commonly only expressed as hydromorphic features. Micromorphological hypodermic coatings include non-redox features [Bullock et al., 1985].)","Hypodermic coatings (Hypodermic coatings, as used here, are field-scale features, commonly only expressed as hydromorphic features. Micromorphological hypodermic coatings include non-redox features [Bullock et al., 1985].)",,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,S,,S,Sesquioxides,Sesquioxides,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SL,,SL,Silica (opal),Silica (opal),,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,MN,,MN,Manganese,Manganese,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,PF,,PF,Pressure faces,Pressure faces,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,GB,,GB,Gibbsite,Gibbsite,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,CH,,CH,Clay and humus (organic matter),Clay and humus (organic matter),,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,JA,,JA,Jarosite,Jarosite,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,ST,,ST,Silt coatings,Silt coatings,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SN,,SN,"Slickensides, non intersecting","Slickensides, non intersecting",,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SI,,SI,"Slickensides, predominantly intersecting (Slickensides are polished and grooved ped surfaces that are produced by aggregates sliding one past another.)","Slickensides, predominantly intersecting (Slickensides are polished and grooved ped surfaces that are produced by aggregates sliding one past another.)",,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,SA,,SA,Sand coatings,Sand coatings,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
coatingNature,H,,H,Humus,Humus,,,Classification of the nature of coatings. See more in Guidelines for Soil Description issued by the FAO: table 66,,,
bulkDensityPeat,BD5,,BD5,Strong (hemic),Strong (hemic) class of decomposition: > 0.17g cm-3,,,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
bulkDensityPeat,BD4,,BD4,Moderate high,Moderate(fibric) class of decomposition: 0.11–0.17g cm-3,,,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
bulkDensityPeat,BD1,,BD1,Very low,Very low (fibric) class of decomposition: < 0.04g cm-3,,,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
bulkDensityPeat,BD3,,BD3,Moderate low,Moderate(fibric) class of decomposition: 0.07–0.11g cm-3,,,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
bulkDensityPeat,BD2,,BD2,Low,Low (fibric) class of decomposition: 0.04–0.07g cm-3,,,"Bulk density and volume of solids of organic soils can be estimated after the decomposition stage or the extent of peat drainage. See more in guidelines for Soil Description issued by the FAO: table 59,3",,,
plasticity,PL,,PL,Plastic,"“Wire formable but breaks if bent into a ring,  slight to moderate force required for deformation of the soil mass.“",,,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,PVP,,PVP,plastic to very plastic,Additioanl plasticity code with combination of  PL and VPL,,,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,SPP,,SPP,slightly plastic to plastic,Additioanl plasticity code with combination of  SPL and PL,,,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,NPL,,NPL,Non-plastic,No wire is formable.,,,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,VPL,,VPL,Very plastic,"“Wire formable and can be bent into a ring,  moderately strong to very strong force required for deformation of the soil mass.“",,,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
plasticity,SPL,,SPL,Slightly plastic,"“Wire formable but breaks immediately if bent into a ring,  soil mass deformed by very slight force.“",,,Plasticity is the ability of soil material to change shape continuously under the influence of an applied stress and to retain the compressed shape on removal of stress. See more in Guidelines for Soil Description issued by the FAO: Guidelines for Soil Description issued by the FAO: table 56,,,
voidsDiameter,MC,,MC,medium and coarse,Medium and coarse void with combination of medium and coarse type,,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,VC,,VC,Very coarse,very coarse void with diameter 20–50 m,,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,M,,M,Medium,medium void with diameter 2–5,,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,FM,,FM,fine and medium,Fine and medium void with combination of fine and medium type,,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,V,,V,Very fine,Very fine void with diameter less than 0.5 m,,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,FF,,FF,fine and very fine,Fine and very fine void with combination of fine and very fine type,,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,C,,C,Coarse,Coarse void with diameter between 5–20 m,,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsDiameter,F,,F,Fine,Fine void with diameter between 0.5–2 m,,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 62",,,
voidsClassification,C,,C,Channels,"Elongated voids of faunal or floral origin, mostly tubular in shape and continuous, varying strongly in diameter. When wider than a few centimetres (burrow holes), they are more adequately described under biological activity.",,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
voidsClassification,I,,I,Interstitial,"Controlled by the fabric, or arrangement, of the soil particles, also known as textural voids. Subdivision possible into simple packing voids, which relate to the packing of sand particles, and compound packing voids, which result from the packing of non-accommodating peds. Predominantly irregular in shape and interconnected, and hard to quantify in the field.",,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
voidsClassification,P,,P,Planes,"Most planes are extra-pedal voids, related to accommodating ped surfaces or cracking patterns. They are often not persistent and vary in size, shape and quantity depending on the moisture condition of the soil. Planar voids may be recorded, describing width and frequency.",,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
voidsClassification,B,,B,Vesicular,"Discontinuous spherical or elliptical voids (chambers) of sedimentary origin or formed by compressed air, e.g. gas bubbles in slaking crusts after heavy rainfall. Relatively unimportant in connection with plant growth.",,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
voidsClassification,V,,V,Vughs,"Mostly irregular, equidimensional voids of faunal origin or resulting from tillage or disturbance of other voids. Discontinuous or interconnected. May be quantified in specific cases.",,,"Voids include all empty spaces in the soil. They are related to the arrangement of the primary soil constituents, rooting patterns, burrowing of animals or any other soil-forming processes, such as cracking, translocation and leaching. See more in Guidelines for Soil Description issued by the FAO: table 61",,,
saltThickness,N,,N,,No salt occurance,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
saltThickness,V,,V,Very thick,Layer of salt occurance is > 20mm,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
saltThickness,F,,F,Thin,Layer of salt occurance is  < 2mm,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
saltThickness,M,,M,Medium,Layer of salt occurance is 2mm–5mm,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
saltThickness,C,,C,Thick,Layer of salt occurance is  5mm–20mm,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the Guidelines for Soil Description issued by the FAO: table 22,2",,,
weatherConditions,PC,,PC,partly cloudy,"Present weather conditions (Schoeneberger et al., 2002)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC1,,WC1,no rain in the last month,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC5,,WC5,heavier rain for some days or rainstorm in the last 24 hours,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC4,,WC4,rainy without heavy rain in the last 24 hours,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,OV,,OV,overcast,"Present weather conditions (Schoeneberger et al., 2002)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,SU,,SU,sunny/clear,"Present weather conditions (Schoeneberger et al., 2002)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,RA,,RA,rain,"Present weather conditions (Schoeneberger et al., 2002)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,SL,,SL,sleet,"Present weather conditions (Schoeneberger et al., 2002)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,SN,,SN,snow,"Present weather conditions (Schoeneberger et al., 2002)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC6,,WC6,extremely rainy time or snow melting,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC3,,WC3,no rain in the last 24 hours,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
weatherConditions,WC2,,WC2,no rain in the last week,"Former weather conditions (Ad-hoc-AG-Boden, 2005)",,,Codes for weather conditions.See in Guidelines for Soil Description issued by the FAO: table 2,,,
bulkDensityMineral,BD3,,BD3,"Knife can be pushed into the moist soil with weak pressure, sample disintegrates into few fragments, which may be further divided.","Loamy soils with high clay content, clayey soils. Sample remains mostly intact when dropped, further disintegration possible after application of large pressure.",,,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
bulkDensityMineral,BD4,,BD4,"Knife penetrates only 1–2 cm into the moist soil, some effort required, sample disintegrates into few fragments, which cannot be subdivided further.","Loamy soils with high clay content, clayey soils. Sample remains intact when dropped, no further disintegration after application of very large pressure.",,,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
bulkDensityMineral,BD2,,BD2,Sample disintegrates into numerous fragments after application of weak pressure.,"Loamy soils with high clay content, clayey soils. When dropped, sample disintegrates into few fragments, further disintegration of subfragments after application of mild pressure.",,,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
bulkDensityMineral,BD5,,BD5,"Very large pressure necessary to force knife into the soil, no further disintegration of sample.","Loamy soils with high clay content, clayey soils. Sample remains intact when dropped, no further disintegration after application of very large pressure.",,,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
bulkDensityMineral,BD1,,BD1,"Many pores, moist materials drop easily out of the auger.","materials with vesicular pores, mineral soils with andic properties. Sample disintegrates at the instant of sampling, many pores visible onthe pit wall. Sample disintegrates at the instant of sampling, many pores visible on the pit wall. Loamy soils with high clay content, clayey soils When dropped, sample disintegrates into numerous fragments, further disintegration of subfragments after application of weak pressure.",,,Field determinations of bulk density may be obtained by estimating the force required to push a knife into a soil horizon exposed at a field moist pit wall. See more in Guidelines for Soil Description issued by the FAO: table 58,,,
biologicalAbundance,C,,C,Common,Common biological activity in soil,,,Classification of the abundance of biological activity. See more in Guidelines for Soil Description issued by the FAO: table 81,,,
biologicalAbundance,M,,M,Many,Many biological activity in soil,,,Classification of the abundance of biological activity. See more in Guidelines for Soil Description issued by the FAO: table 81,,,
biologicalAbundance,F,,F,Few,Few biological activity in soil,,,Classification of the abundance of biological activity. See more in Guidelines for Soil Description issued by the FAO: table 81,,,
biologicalAbundance,N,,N,,No biological activity in soil,,,Classification of the abundance of biological activity. See more in Guidelines for Soil Description issued by the FAO: table 81,,,
fragmentCover,A,,A,Abundant,40%–80% of coarse surface fragments,,,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,D,,D,Dominant,> 80% of coarse surface fragments,,,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,C,,C,Common,5%–15% of coarse surface fragments,,,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,M,,M,Many,15%–40% of coarse surface fragments,,,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,N,,N,,0% of coarse surface fragments,,,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,F,,F,Few,2%–5% of coarse surface fragments,,,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
fragmentCover,V,,V,Very few,0%–2% of coarse surface fragments,,,"Coarse surface fragments, including those partially exposed, should be described in terms of percentage of surface coverage and of size of the fragments. See more in Guidelines for Soil Description issued by the FAO: table 15,1",,,
biologicalFeatures,BO,,BO,Open large burrows,Biological feature of  Open large burrows,,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,BI,,BI,Infilled large burrows,Biological feature of  Infilled large burrows,,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,T,,T,Termite or ant channels and nests,Biological feature of Termite or ant channels and nests,,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,P,,P,Pedotubules,Biological feature of  Pedotubules,,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,E,,E,Earthworm channels,Biological feature of Earthworm channels,,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,C,,C,Charcoal,Biological feature of  Charcoal,,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,A,,A,Artefacts,Biological feature of  Artefacts,,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,B,,B,Burrows (unspecified),Biological feature of Burrows (unspecified),,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
biologicalFeatures,I,,I,Other insect activity,Biological feature of Other insect activity,,,Examples of biological features. See more in Guidelines for Soil Description issued by the FAO: table 82,,,
slopeGradientClass,10,,10,Very steep,> 60% of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,7,,7,Strongly sloping,10–15% of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,5,,5,Gently sloping,2–5% of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,3,,3,Nearly level,0.5–1.0 % of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,4,,4,Very gently sloping,1.0–2.0 % of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,6,,6,Sloping,5–10 % of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,1,,1,Flat,0–0.2% of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,2,,2,Level,0.2–0.5 % of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,9,,9,Steep,30–60 % of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
slopeGradientClass,8,,8,Moderately steep,15–30 % of slope gradient,,,Slope gradient classes measured on the percentage of slope. See more in Guidelines for Soil Description issued by the FAO: table 7,,,
gypsumContent,MO,,MO,Moderately gypsiric,≈ 5–15 EC = > 1.8 dS m-1 in 10 g soil/250 ml H2O,,,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
gypsumContent,EX,,EX,Extremely gypsiric,≈ > 60,,,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
gypsumContent,SL,,SL,Slightly gypsiric,≈ 0–5 EC = < 1.8 dS m-1 in 10 g soil/250 ml H2O,,,"Where more readily soluble salts are absent, gypsum can be estimated in the field by measurements of electrical conductivity. More in the guidelines for Soil Description issued by the FAO: table 40",,,
