foi,attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
Layer-Horizon,physioChemical,Aluext,,Aluext,Aluminium (Al) extractable,Aluminium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
Layer-Horizon,physioChemical,Gyp,,Gyp,Gypsum content - weight,"The gypsum content, expressed as weight, refers to the soil’s calcium sulfate levels. Gypsum improves soil structure, alleviates sodicity, and enhances water infiltration. It is commonly applied to saline-sodic soils for reclamation. Source: FAO Soil Bulletin.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",24497,,
Layer-Horizon,physioChemical,Pottot,,Pottot,Potassium (K) - total,"Total potassium includes all forms of potassium in soil, such as mineral-bound, exchangeable, and water-soluble potassium. It plays a vital role in plant growth by regulating water balance, enzyme activation, and photosynthesis. While only a fraction of total potassium is readily available to plants, it serves as a reserve to replenish exchangeable potassium over time. Adequate potassium levels improve crop yield, quality, and resistance to stress. Source: Soil Science Society of America.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462222,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,1S/K
Layer-Horizon,physioChemical,Photot,,Photot,Phosphorus (P) - total,"Total phosphorus includes all forms of phosphorus in the soil, both organic and inorganic. While only a fraction is plant-available, total phosphorus serves as a long-term reserve for crop nutrition. Adequate phosphorus levels are crucial for energy transfer, photosynthesis, and root development in plants. Source: Soil Chemistry by Bohn et al.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462309,OAICVXFJPJFONN-UHFFFAOYSA-N,1S/P
Layer-Horizon,physioChemical,Basexc,,Basexc,Bases - exchangeable,"Exchangeable bases refer to the cations (e.g., calcium, magnesium, potassium, and sodium) adsorbed onto soil colloids, which can readily exchange with soil solution ions. These cations are crucial for maintaining soil fertility, affecting nutrient availability and pH buffering capacity. High exchangeable base levels indicate fertile soil conducive to plant growth. Source: Soil Science Society of America.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Bassum,,Bassum,Base saturation - sum of cations,"Base saturation calculated as the sum of cations represents the proportion of the cation exchange capacity (CEC) occupied by essential base cations like calcium, magnesium, potassium, and sodium. It provides insight into the soil's fertility status and its ability to resist acidification. Source: Soil Science Society of America.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Aluoxa,,Aluoxa,Aluminium (Al) - oxalate extractable,'Active' aluminium content extracted from amorphous aluminium compounds that are the products of the weathering of primary soil particles,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
Layer-Horizon,physioChemical,CaN,,CaN,Carbon/Nitrogen (C/N) ratio,"The C/N ratio represents the proportion of carbon to nitrogen in organic matter. It influences decomposition rates and nutrient availability. A lower C/N ratio promotes rapid organic matter breakdown and nitrogen release, while a high ratio may lead to nitrogen immobilization, affecting plant growth. Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Manpyr,,Manpyr,Manganese (Mn) - pyrophosphate extractable,Manganese in soil that is organically bound in organo-metal complexes,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
Layer-Horizon,physioChemical,ManKCl,,ManKCl,Manganese (Mn) - KCl extractable,KCl extractable manganese measures the readily available manganese fraction in soil. It provides a more accurate assessment of manganese availability to plants than total manganese. This method is commonly used for nutrient management. Source: Soil Science Society of America.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
Layer-Horizon,physioChemical,Mol,,Mol,Molybdenum,"Molybdenum is a micronutrient essential for plant enzymes involved in nitrogen fixation and nitrate reduction. Deficiency, often observed in acidic soils, can lead to stunted growth and poor nitrogen utilization. Its availability increases with higher pH, making liming a common solution for molybdenum deficiencies. Source: Havlin et al. (2014).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23932,,
Layer-Horizon,physioChemical,pH,,pH,pH - Hydrogen potential,"Soil pH measures the concentration of hydrogen ions (H⁺) in the soil solution, indicating its acidity or alkalinity on a scale from 1 to 14. Neutral soils have a pH of 7, while values below 7 are acidic and above are alkaline. Soil pH significantly affects nutrient availability, microbial activity, and plant growth. For instance, nutrients like phosphorus are most available in a pH range of 6 to 7. Lime or sulfur applications can adjust soil pH to optimize conditions for crops. Source: USDA Natural Resources Conservation Service (NRCS).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Manext,,Manext,Manganese (Mn) - extractable,Manganese bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
Layer-Horizon,physioChemical,Borext,,Borext,Boron (B) - extractable,Boron bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462311,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,1S/B
Layer-Horizon,physioChemical,Sul,,Sul,Sulfate (SO4--) - soluble,Soluble Sulfate anions accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",1117,QAOWNCQODCNURD-UHFFFAOYSA-L,"1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2"
Layer-Horizon,physioChemical,Brot,,Brot,Bromite (BrO2-),"Bromite (BrO₂⁻) is a rare intermediate oxidation state of bromine, generally not prevalent in natural soils. It may arise under specific chemical or environmental conditions and is of limited importance in typical soil science contexts. Source: Environmental Chemistry Textbooks.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5460628,DKSMCEUSSQTGBK-UHFFFAOYSA-M,"1S/BrHO2/c2-1-3/h(H,2,3)/p-1"
Layer-Horizon,physioChemical,Calsol,,Calsol,Calcium (Ca++) - soluble,Soluble Calcium cations accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",271,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,1S/Ca/q+2
Layer-Horizon,physioChemical,Sulext,,Sulext,Sulfur (S) - extractable,Sulfur bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5362487,NINIDFKCEFEMDL-UHFFFAOYSA-N,1S/S
Layer-Horizon,physioChemical,Alu,,Alu,Aluminium (Al) + 0.5 Fe oxalate,Sum of the oxalate-extractable aluminium concentration plus half the oxalate-extractable iron concentration,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
Layer-Horizon,physioChemical,Por,,Por,Porosity,"Porosity refers to the percentage of soil volume occupied by pores or voids, which hold air and water. It directly impacts water infiltration, drainage, and root growth. Soils with high porosity are better suited for crop cultivation, as they provide good aeration and water availability. Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Copext,,Copext,Copper (Cu) - extractable,Copper bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23978,RYGMFSIKBFXOCR-UHFFFAOYSA-N,1S/Cu
Layer-Horizon,physioChemical,Irotot,,Irotot,Iron (Fe) - total,"Total iron includes all iron forms in the soil, from soluble ferrous iron (Fe²⁺) to insoluble ferric iron (Fe³⁺). Iron is essential for plant chlorophyll synthesis and various enzymatic reactions. Deficiency, often seen in alkaline soils, results in chlorosis, while excessive iron can cause toxicity in acidic soils. Source: Soil Chemistry by Bohn et al.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23925,XEEYBQQBJWHFJM-UHFFFAOYSA-N,1S/Fe
Layer-Horizon,physioChemical,Aluexc,,Aluexc,Aluminium (Al) exchangeable,Aluminium ions bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
Layer-Horizon,physioChemical,Cartot,,Cartot,Carbon (C) - total,"Total carbon in soil includes both organic carbon (from plant and microbial residues) and inorganic carbon (primarily carbonates). It is a fundamental component of soil organic matter, influencing soil fertility, structure, and water retention. High carbon levels are associated with better soil health and productivity. Source: USDA NRCS.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1S/C
Layer-Horizon,physioChemical,Car,,Car,Carbonate (CO3--) - soluble,"Soluble carbonates contribute to soil alkalinity and act as a pH buffer. They play a role in nutrient availability, particularly in arid and semi-arid regions, but excessive carbonates can immobilize certain nutrients like phosphorus and iron. Source: Soil Chemistry by Bohn et al.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",19660,BVKZGUZCCUSVTD-UHFFFAOYSA-L,"1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-2"
Layer-Horizon,physioChemical,Hyd,,Hyd,Hydrocarbonate (HCO3-) - soluble,Soluble Hydrocarbonate anions accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",769,BVKZGUZCCUSVTD-UHFFFAOYSA-M,"1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1"
Layer-Horizon,physioChemical,Magext,,Magext,Magnesium (Mg) - extractable,Magnesium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462224,FYYHWMGAXLPEAU-UHFFFAOYSA-N,1S/Mg
Layer-Horizon,physioChemical,Caltot,,Caltot,Calcium (Ca++) - total,"Total calcium in soil includes all forms, from exchangeable calcium to calcium in minerals. It is essential for plant cell wall structure, enzyme activation, and soil aggregation. Calcium levels influence soil pH and nutrient availability. Source: Havlin et al. (2014).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",271,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,1S/Ca/q+2
Layer-Horizon,physioChemical,Phoret,,Phoret,Phosphorus (P) - retention,"Phosphorus retention measures a soil's capacity to adsorb and hold phosphorus, influenced by soil texture, pH, and mineralogy. While high retention reduces leaching, it may also limit phosphorus availability to plants. Understanding phosphorus retention helps optimize fertilization and minimize environmental impacts. Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462309,OAICVXFJPJFONN-UHFFFAOYSA-N,1S/P
Layer-Horizon,physioChemical,Aciexc,,Aciexc,Acidity - exchangeable,Exchangeable acidity represents the amount of hydrogen (H⁺) and aluminum (Al³⁺) ions adsorbed onto soil particles that can be exchanged with the soil solution. It is a key factor in determining soil liming requirements and improving nutrient availability in acidic soils. Source: Brady & Weil (2017).,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Carpyr,,Carpyr,Carbon (C) - pyrophosphate extractable,Carbon in soil that is organically bound in organo-metal complexes,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1S/C
Layer-Horizon,physioChemical,Potexc,,Potexc,Potassium (K+) - exchangeable,Potassium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",813,NPYPAHLBTDXSSS-UHFFFAOYSA-N,1S/K/q+1
Layer-Horizon,physioChemical,Avavol,,Avavol,Available water capacity - volumetric (FC to WP),"Available water capacity (AWC) measures the volume of water soil can retain between field capacity and the permanent wilting point. It represents the water accessible to plants for uptake. High AWC supports better plant growth, while low AWC may necessitate irrigation. Source: USDA NRCS.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Cad,,Cad,Cadmium (Cd),"Cadmium is a heavy metal present in trace amounts in soils, often introduced through industrial pollution or phosphate fertilizers. It is toxic to plants, animals, and humans even at low concentrations. Monitoring cadmium levels is crucial to ensure soil safety and reduce contamination risks in the food chain. Source: Sparks, D.L. (2003).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23973,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,1S/Cd
Layer-Horizon,physioChemical,Nittot,,Nittot,Nitrogen (N) - total,"Total nitrogen encompasses all nitrogen forms in soil, including organic nitrogen in humus and inorganic nitrogen such as ammonium (NH₄⁺) and nitrate (NO₃⁻). Nitrogen is essential for plant growth, being a vital component of amino acids, proteins, and chlorophyll. Total nitrogen is a key indicator of soil fertility and its capacity to sustain long-term crop productivity. Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",947,IJGRMHOSHXDMSA-UHFFFAOYSA-N,1S/N2/c1-2
Layer-Horizon,physioChemical,Hydcond,,Hydcond,Hydraulic conductivity,"Hydraulic conductivity refers to the rate at which water moves through soil pores under a unit hydraulic gradient. It reflects the soil's ability to transmit water, influenced by texture, structure, and porosity. Soils with high hydraulic conductivity, like sandy soils, allow rapid water movement, while clayey soils exhibit slower water flow. This property is critical for understanding water infiltration, drainage, and irrigation management. Source: Brady, N.C., & Weil, R.R. (2017). The Nature and Properties of Soils.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Nit2,,Nit2,Nitrite (NO2-) - soluble,Soluble Nitrite anions accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",946,IOVCWXUNBOPUCH-UHFFFAOYSA-M,"1S/HNO2/c2-1-3/h(H,2,3)/p-1"
Layer-Horizon,physioChemical,Ccetot,,Ccetot,Calcium carbonate equivalent - total,"The total calcium carbonate equivalent measures the full capacity of soil to neutralize acidity, considering all forms of carbonate and bicarbonate minerals. It is essential for managing soil pH and nutrient availability in acidic soils. Source: FAO Soil Bulletin.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",10112,VTYYLEPIZMXCLO-UHFFFAOYSA-L,"1S/CH2O3.Ca/c2-1(3)4;/h(H2,2,3,4);/q;+2/p-2"
Layer-Horizon,physioChemical,Siloxa,,Siloxa,Silicon (Si) - oxalate extractable,'Active' silicon content extracted from amorphous silicon compounds that are the products of the weathering of primary soil particles,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5461123,XUIMIQQOPSSXEZ-UHFFFAOYSA-N,1S/Si
Layer-Horizon,physioChemical,Aciext,,Aciext,Acidity - extractable,"Extractable acidity measures the active acidity in soil, including hydrogen ions in the soil solution and weakly bound to colloids. It is critical for assessing lime requirements and addressing soil pH imbalances to improve plant growth. Source: Soil Chemistry by Bohn et al.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Selext,,Selext,Selenium (Se) - extractable,Selenium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",6326970,BUGBHKTXTAQXES-UHFFFAOYSA-N,1S/Se
Layer-Horizon,physioChemical,Hydexc,,Hydexc,Hydrogen (H+) - exchangeable,Hydrogen ions bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",1038,GPRLSGONYQIRFK-UHFFFAOYSA-N,1S/p+1
Layer-Horizon,physioChemical,Irooxa,,Irooxa,Iron (Fe) - oxalate extractable,'Active' iron content extracted from amorphous iron compounds that are the products of the weathering of primary soil particles,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23925,XEEYBQQBJWHFJM-UHFFFAOYSA-N,1S/Fe
Layer-Horizon,physioChemical,Seltot,,Seltot,Selenium (Se) - total,"Total selenium includes all selenium forms in soil, ranging from organic selenium in humus to inorganic selenium compounds. While trace amounts are essential for animal and human nutrition, excessive selenium can be toxic. Understanding selenium levels is critical for food safety and environmental management. Source: Sparks, D.L. (2003). Environmental Soil Chemistry.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",6326970,BUGBHKTXTAQXES-UHFFFAOYSA-N,1S/Se
Layer-Horizon,physioChemical,BulDwhole,,BulDwhole,Bulk Density of the whole soil,"Bulk density measures the mass of soil per unit volume, including both solids and pore spaces. It is a critical parameter for assessing soil compaction, porosity, and water infiltration capacity. High bulk density often indicates poor aeration and root penetration, while low values are associated with high organic matter content and good structure. Source: USDA NRCS.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Sodexc,,Sodexc,Sodium (Na+) - exchangeable %,"Exchangeable sodium percentage (ESP) measures the proportion of sodium ions in the cation exchange complex. High ESP levels (>15%) indicate sodic soils, which are prone to poor structure, reduced permeability, and nutrient imbalances. Management strategies include gypsum application and leaching. Source: USDA NRCS.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",923,FKNQFGJONOIPTF-UHFFFAOYSA-N,1S/Na/q+1
Layer-Horizon,physioChemical,Magtot,,Magtot,Magnesium (Mg) - total,"Total magnesium in soil includes exchangeable, soluble, and mineral-bound forms. Magnesium is essential for chlorophyll synthesis, enzyme activation, and nutrient transport in plants. Its availability is influenced by soil pH and texture. Source: Havlin et al. (2014).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462224,FYYHWMGAXLPEAU-UHFFFAOYSA-N,1S/Mg
Layer-Horizon,physioChemical,Carhum,,Carhum,Carbon (C) - humic acid,"Humic acid carbon is part of the soil organic matter, forming during the decomposition of plant and animal residues. It enhances nutrient retention, soil structure, and water-holding capacity, playing a vital role in maintaining soil fertility and resilience. Source: Stevenson, F.J. (1994). Humus Chemistry: Genesis, Composition, Reactions.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1S/C
Layer-Horizon,physioChemical,Calext,,Calext,Calcium (Ca++) - extractable,Calcium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",271,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,1S/Ca/q+2
Layer-Horizon,physioChemical,Potsol,,Potsol,Potassium (K+) - soluble,Soluble Potassium cations accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",813,NPYPAHLBTDXSSS-UHFFFAOYSA-N,1S/K/q+1
Layer-Horizon,physioChemical,Eleccond,,Eleccond,Electrical conductivity,"Electrical conductivity (EC) measures the ability of soil to conduct an electrical current, which is directly related to the concentration of soluble salts. It is an essential indicator of soil salinity and is used to assess soil's suitability for crop growth. High EC levels can reduce plant water uptake and affect germination, while low levels indicate low salinity and better soil health. Source: USDA NRCS.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Iropyr,,Iropyr,Iron (Fe) - pyrophosphate extractable,Iron in soil that is organically bound in organo-metal complexes,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23925,XEEYBQQBJWHFJM-UHFFFAOYSA-N,1S/Fe
Layer-Horizon,physioChemical,Carorg,,Carorg,Carbon (C) - organic,"Organic carbon refers to the carbon component of soil organic matter, derived from decomposed plant and microbial residues. It serves as a key energy source for soil microbes and influences nutrient cycling, soil structure, and water retention. Organic carbon is a primary indicator of soil fertility and health. Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1S/C
Layer-Horizon,physioChemical,Cartoh,,Cartoh,Carbon (C) - total humic,"Total humic carbon represents the stable fraction of soil organic matter derived from humified materials. It improves soil structure, nutrient retention, and water-holding capacity, making it critical for long-term soil health and productivity. Source: Stevenson, F.J. (1994).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1S/C
Layer-Horizon,physioChemical,Calfra,,Calfra,Calcium carbonate equivalent - fraction,"This term quantifies the fraction of calcium carbonate (CaCO₃) in soil, indicating its lime content. Calcium carbonate acts as a pH buffer, neutralizing soil acidity and enhancing nutrient availability. High levels improve soil structure and aggregate stability, making it especially valuable for acidic soils. Source: FAO Soil Bulletin.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",10112,VTYYLEPIZMXCLO-UHFFFAOYSA-L,"1S/CH2O3.Ca/c2-1(3)4;/h(H2,2,3,4);/q;+2/p-2"
